품목명,업체명,허가번호,허가일자,제조수입구분,품목상태,허가신고구분코드,추적관리대상,제조원,취소취하일자
고주파자극기,(주)프라임메디텍,제허 05-190 호,20050321,제조,취소·취하,1,비대상,,2011-02-01
고주파자극기,프러스,제허 05-111 호,20050214,제조,취소·취하,1,비대상,,2013-08-16
고주파자극기,프러스,제허 05-67 호,20050125,제조,취소·취하,1,비대상,,2013-08-16
고주파자극기,에스엠씨코리아,제허 05-33 호,20050114,제조,취소·취하,1,비대상,,2013-05-02
고주파자극기,(주)조이엠지,수허 04-1651 호,20041224,수입,취소·취하,1,비대상,,2012-04-27
고주파자극기,프러스,제허 04-1249 호,20041217,제조,취소·취하,1,비대상,,2013-08-16
고주파자극기,프러스,제허 04-1248 호,20041217,제조,취소·취하,1,비대상,,2013-08-16
고주파자극기,(주)루트로닉,수허 04-1455 호,20041106,수입,취소·취하,1,비대상,CATHYOR ENGINEERING S.A.,2007-03-23
고주파자극기,(주)아이티시,제허 04-1004 호,20040923,제조,취소·취하,1,비대상,,2023-08-03
고주파자극기,엔에프메디컬,제허 04-909 호,20040902,제조,취소·취하,1,비대상,,2013-05-09
고주파자극기,로얄전자의료기,제허 04-902 호,20040831,제조,취소·취하,1,비대상,,2012-02-21
고주파자극기,(주)에너지플러스,제허 04-856 호,20040818,제조,취소·취하,1,비대상,,2007-08-22
고주파자극기,프러스,제허 04-837 호,20040812,제조,취소·취하,1,비대상,,2013-08-16
고주파자극기,(주)피알피생명과학,제허 04-801 호,20040726,제조,취소·취하,1,비대상,,2010-08-24
고주파자극기,(주)피알피생명과학,제허 04-800 호,20040726,제조,취소·취하,1,비대상,,2010-08-24
고주파자극기,(주)프라임메디텍,제허 04-767 호,20040714,제조,취소·취하,1,비대상,,2011-02-01
고주파자극기,(주)레베코인더스트리얼,제허 04-701 호,20040701,제조,취소·취하,1,비대상,,2012-04-27
고주파자극기,프러스,제허 04-106 호,20040202,제조,취소·취하,1,비대상,,2013-08-16
고주파자극기,(주)지오피오,제허 03-1204 호,20031230,제조,취소·취하,1,비대상,,2009-06-01
고주파자극기,엔에프메디컬,제허 03-649 호,20030721,제조,취소·취하,1,비대상,,2007-07-02
고주파자극기,(주)유메코그룹,수허 03-792 호,20030703,수입,취소·취하,1,비대상,SILOUET-TONE LTD.,2024-10-08
고주파자극기,인디바코리아,수허 03-531 호,20030418,수입,취소·취하,1,비대상,"INDIBA,S.A.",2017-05-04
고주파자극기,(주)프라임메디텍,제허 03-207 호,20030310,제조,취소·취하,1,비대상,,2011-02-01
고주파자극기,엠앤비,수허 03-60 호,20030113,수입,취소·취하,1,비대상,"INDIBA,S.A.",2022-02-24
고주파자극기,미라클전자,제허 02-286 호,20020406,제조,취소·취하,1,비대상,,2007-12-27
고주파자극기,노스웨스트오리엔트무역,수허 02-29 호,20020107,수입,정상,1,비대상,Universal Technology Ltd.,
의료용고주파온열기,(주)녹십자엠에스,제허 87-57 호,19871217,제조,취소·취하,1,비대상,,2003-03-10
