품목명,업체명,허가번호,허가일자,제조수입구분,품목상태,허가신고구분코드,추적관리대상,제조원,취소취하일자
치과용임플란트고정체,(주)사이버메드,제허 22-605 호,20220908,제조,정상,1,비대상,,
치과용임플란트고정체,로체주식회사,제허 22-586 호,20220907,제조,취소·취하,1,비대상,,2023-06-21
치과용임플란트고정체,주식회사피엔유에드,제허 22-595 호,20220906,제조,정상,1,비대상,에이덴 주식회사,
치과용임플란트고정체,이젠임플란트(주),제허 22-596 호,20220906,제조,정상,1,비대상,,
치과용임플란트고정체,(주)에스디엠,제허 22-564 호,20220819,제조,정상,1,비대상,,
치과용임플란트고정체,(주)이클레틱,제허 22-562 호,20220818,제조,정상,1,비대상,주식회사 사이버메드,
치과용임플란트고정체,(주)에스디엠,제허 22-549 호,20220810,제조,정상,1,비대상,,
치과용임플란트고정체,(주)서치,제허 22-516 호,20220802,제조,정상,1,비대상,,
치과용임플란트고정체,주식회사덴큐,제허 22-467 호,20220719,제조,정상,1,비대상,,
치과용임플란트고정체,(주)바이오템,제허 22-430 호,20220705,제조,정상,1,비대상,,
치과용임플란트고정체,주식회사덴큐,제허 22-429 호,20220705,제조,정상,1,비대상,,
치과용임플란트고정체,(주)이노바이오써지,제허 22-375 호,20220609,제조,정상,1,비대상,,
치과용임플란트고정체,이젠임플란트(주),제허 22-326 호,20220520,제조,정상,1,비대상,,
치과용임플란트고정체,(주)한국치과임플란트연구소(KDI),제허 22-317 호,20220518,제조,정상,1,비대상,,
치과용임플란트고정체,(주)아름덴티스트리,제허 22-295 호,20220509,제조,정상,1,비대상,,
치과용임플란트고정체,(주)이노바이오써지,제허 22-246 호,20220413,제조,정상,1,비대상,,
치과용임플란트고정체,(주)레이언스,제허 22-166 호,20220314,제조,취소·취하,1,비대상,(주)후원이디아이,2024-02-23
치과용임플란트고정체,(주)아침해의료기,제허 22-153 호,20220307,제조,정상,1,비대상,,
치과용임플란트고정체,(주)덴티스,제허 22-74 호,20220204,제조,정상,1,비대상,,
치과용임플란트고정체,(주)비앤메디,제허 21-1041 호,20211227,제조,정상,1,비대상,,
치과용임플란트고정체,(주)비앤메디,제허 21-1038 호,20211223,제조,정상,1,비대상,,
치과용임플란트고정체,시에스엠임플란트,제허 21-997 호,20211209,제조,정상,1,비대상,,
치과용임플란트고정체,(주)스누콘,제허 21-947 호,20211124,제조,정상,1,비대상,,
치과용임플란트고정체,(주)아침해의료기,제허 21-942 호,20211123,제조,정상,1,비대상,,
치과용임플란트고정체,(주)에비던스임플란트,제허 21-899 호,20211111,제조,정상,1,비대상,,
치과용임플란트고정체,(주)케이제이메디텍,제허 21-863 호,20211027,제조,정상,1,비대상,,
